appid,genres
100,Action
10,Action
1000010,Adventure;Indie;RPG;Strategy
1000030,Action;Indie;Simulation;Strategy
1000080,Action;Adventure;Indie;RPG
1000280,Indie;RPG
1000360,Action;Early Access
1000380,Action;Adventure;Free To Play;Indie
1000410,Action
1000440,Action;Indie
1000700,Adventure;Indie
1000760,Action;Adventure;Indie
1000830,Casual;Indie;Strategy
1001220,Action;Adventure;Indie;RPG;Simulation
1001640,Adventure;Indie;Simulation
1001860,Action;Casual;Indie;Free To Play
1001960,Action;Indie
1001970,Action;Indie;Early Access
1002,Indie
1002000,Action;Indie
1002100,Adventure;Casual;Indie
1002200,Adventure;Indie;RPG
1002230,Casual;Indie;Strategy
1002270,Action;Casual;Indie;Simulation
1002280,Casual
1002300,Adventure;Indie;RPG
1002290,Casual;Free To Play;Indie
1002310,Action;Adventure;Casual;Indie;Simulation
1002360,Casual;Indie
1002430,Action;Indie;Simulation;Sports;Strategy;Early Access
1002560,Adventure;Casual;Indie
1002930,Free To Play;RPG;Strategy
1002970,Action
1003090,Adventure;Indie;Simulation;Strategy
1003120,Adventure;Indie
1003360,Casual;Indie;Simulation
1003400,Adventure;RPG;Strategy
1003480,Action
1003490,Adventure
1003520,Casual;Indie;Simulation
1003590,Casual;Indie
1003890,Adventure
100400,Animation & Modeling
1004150,Adventure;Casual;Indie
1004240,Casual;Indie;RPG;Simulation
1004270,Adventure;Casual;Indie;RPG;Simulation
1004330,Action;Casual;Indie;Racing;Sports
1004490,Action;Adventure;Casual;Indie;Simulation
1004570,Casual;Indie;Strategy
1004750,Racing;Simulation;Sports
1004770,Action;Indie
1005000,Casual;Simulation;Strategy
1004860,Adventure;Casual
1005050,Adventure;Casual;Strategy
1005120,Adventure;Indie;RPG
1005420,Action;Adventure;Indie
1005300,Casual;Indie;Strategy
1005480,Adventure;Indie;RPG
1005460,Casual;Indie;Simulation;Strategy
1005870,Action;Casual;Indie;Free To Play
1005520,Adventure;Casual;Indie;Simulation
1005910,Casual;Free To Play;Indie;RPG
1005930,Indie;RPG;Simulation;Strategy;Early Access
1005950,Adventure;Casual;RPG;Simulation;Early Access
1005990,Action;Adventure;Indie;RPG
1006140,Indie;RPG;Strategy;Early Access
1006220,Indie
1006270,Action;Indie;Strategy
1006400,Adventure;Indie;RPG
1006460,Adventure;Strategy
1006510,
1006800,
1006880,Adventure;Casual;Indie;Simulation;Strategy
1006930,Casual;Indie;Simulation
1007040,Action
1007350,Indie;RPG;Simulation
1007400,Action;Indie;RPG
1007730,Adventure;Casual;Indie;Simulation;Strategy
1007800,Adventure;Indie;RPG
1007810,Adventure;Indie;RPG
1007840,Action;Adventure;Indie;Simulation
1007990,Adventure;Casual;Indie
1008010,Action;Indie;Sports
1008020,Adventure
1008080,Action;Adventure;Free To Play
1008210,Adventure;Casual;Indie;RPG;Simulation;Free To Play
1008230,Adventure;Indie;RPG
1008510,Action;Adventure;Indie;Simulation;Strategy
1008580,Action;Free To Play;Indie;Early Access
1008690,Action;Adventure;Indie
1008710,Adventure;Casual;Indie;RPG
1008860,Action;Adventure;Casual;Indie
1008910,Casual;Indie
10090,Action
1009040,Adventure;Free To Play;RPG;Simulation;Strategy;Early Access
1009290,Action;Adventure;RPG
1009450,Adventure;Casual;Simulation
1009460,Casual;Simulation
1009560,Casual;Indie;Simulation
1009700,Casual;Indie
1009850,Utilities
1009990,Indie
10100,Adventure
1010240,Casual;Indie;Simulation
1010270,Action;Adventure;Massively Multiplayer
1010290,Indie
1010600,Adventure;Casual
1010660,Action;Adventure;Casual;Indie;RPG;Simulation
1010750,Action
1010800,Utilities
1010850,Adventure;Indie;RPG;Strategy;Free To Play
1010860,Action;Casual;Indie;Massively Multiplayer;RPG
1010890,Action;Indie;Free To Play
10110,Adventure
1011030,Casual;Indie;Strategy
1011130,Casual
1011190,Indie;Simulation
1011300,Action;Casual;Indie
1011390,Strategy
1011610,Indie;Simulation;Strategy
1011700,Adventure;Indie
1011830,Adventure;Casual;Indie;Simulation;Strategy
1011940,Indie;RPG
1007390,
1012030,Indie;RPG
1012240,Indie
1012560,Action;Casual;Indie
1012610,Indie;Strategy;Early Access
1012730,Action;Free To Play;Massively Multiplayer
1012630,Action;Casual;Indie
1012790,Action;Indie
1012840,Adventure
1012880,Adventure;Casual;Indie;Simulation;Strategy
1012900,Casual
10130,Action
1013180,Adventure
1013220,Action
1013320,Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Free To Play
1013540,Adventure;Indie;Simulation;Early Access
1013680,Action;Adventure;Free To Play;Indie
1013750,Adventure;Indie;Simulation
1013830,Adventure;Casual;Indie;Simulation
1013870,Indie;RPG
1013890,Action;Casual;Indie;RPG;Simulation
1013910,Action;Adventure;Indie;RPG
10140,Sports
1014040,Casual;Indie
1014010,Casual
1014370,Casual;Free To Play;Indie;Simulation
1014140,Casual;Indie
1014580,Indie
1014730,Simulation
1014940,Action;Adventure;RPG
10150,Action;Adventure
1015020,Adventure;Casual;Indie;RPG
1015080,Adventure;Casual;Indie
1015090,Indie;Strategy
1015130,Action;Adventure;Indie
1015140,Action;Indie;Strategy
1015350,Casual;Indie
1015710,Indie;Simulation
1015720,Adventure;Indie;RPG
1015730,Indie;RPG
1015750,Indie;RPG
1015770,Indie;RPG
1015790,Indie;RPG
1015800,Indie;RPG
1015890,Action;Adventure
1015930,Strategy
1015940,Adventure;Indie
1016110,Adventure
1016120,Simulation;Sports
1016180,Action;Adventure
1016360,Action;Indie
1016720,Adventure;Simulation;Strategy
1016600,Action;Adventure;Indie
1016770,Adventure;Indie;RPG;Simulation;Strategy
1016730,Adventure;Indie;RPG;Strategy
1016790,Action;Adventure;Indie
1016800,Action;Adventure;Indie;RPG;Simulation
1016920,Action;Casual;Indie
1016860,Action;Adventure;Indie;Simulation
1016930,Adventure;Casual;Indie
1016950,Sports;Strategy
1017060,Design & Illustration;Utilities
1016960,Action;Adventure;RPG
1017100,Free To Play;Indie;Strategy
1017130,Adventure;Indie
1017160,Action;Racing
1017180,Action;Adventure;Casual;Indie;Simulation;Early Access
1017520,Casual;Indie
1017410,Indie;Strategy;Early Access
1017880,Adventure;Casual;Indie
1017900,Strategy
1017940,Casual;Simulation;Sports
10180,Action
1018000,Action;Casual
1018010,Action;Adventure;Racing;RPG;Simulation;Sports
1018020,Action
1018160,
1018170,
1018800,
1018610,
1018850,Adventure;Casual;Indie
1018830,Indie;Strategy
1018930,Adventure;Free To Play;Simulation
1019020,Adventure
1019310,Adventure;Indie
1019450,Simulation
1019550,Action;Indie;Simulation
10195,Action
1019580,Adventure
1019630,Casual;Indie;RPG;Simulation;Sports;Strategy
1019940,Indie;Massively Multiplayer;Racing;Simulation
1020050,Adventure;Indie
1020270,Adventure;Casual
1020330,Casual;Indie;Strategy
1020340,Action;Indie
1020540,Action
1020470,Action;Adventure;Casual;Indie;RPG
1020600,Casual;Indie;Racing;Simulation;Sports
1020660,Racing;Simulation
1020800,Indie;Racing;Simulation;Early Access
1020780,Action;Adventure;Free To Play;Indie;Massively Multiplayer;RPG
1020820,Animation & Modeling;Design & Illustration;Web Publishing
1021070,Adventure;Indie;RPG;Strategy
1021210,Action;Indie;RPG;Strategy
1021100,Action;Indie;Strategy
1021770,Action;Indie
1021690,Casual;Indie;Simulation;Strategy
1021780,Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access
1021820,Casual;Indie;Simulation
1021850,Adventure;Indie;RPG
1021950,Adventure;Free To Play;Indie
10220,Action
102200,Adventure;Indie;RPG
1022310,Casual;Strategy
1022450,Indie;Massively Multiplayer;Strategy;Free To Play;Early Access
1022640,Casual;Indie;RPG
1022780,Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy
1022980,Indie;RPG;Simulation;Early Access
1023040,Indie;Simulation;Sports
1023370,Casual;Simulation
1023700,Adventure
1023740,Action;Casual;Indie
1023870,Action;Adventure;Indie
1023970,Action
1023980,Action;Adventure;RPG;Early Access
1024010,Casual;Indie;Simulation;Sports
1024380,Action;Early Access
1024400,Adventure;Casual;RPG;Strategy
1024480,Action;RPG;Strategy
1024650,Simulation;Strategy
1024800,Free To Play;Indie
1024890,Action;Free To Play;Indie;Strategy;Early Access
102500,Action;RPG
1025070,Adventure;Casual
1025140,Adventure;Casual;Simulation
1025240,Action;Casual;Indie;Strategy
1025250,Action;Indie
1025410,Action;Adventure;Indie
1025440,Strategy
1025600,Action;Strategy
1025960,Adventure;Casual
102600,Action;Indie;Strategy
