f_name,original_name
f0,"﻿""﻿""""recommendationid"""""""
f1,appid
f2,author_steamid
f3,author_num_games_owned
f4,author_num_reviews
f5,author_playtime_forever
f6,author_playtime_last_two_weeks
f7,author_playtime_at_review
f8,voted_up
f9,votes_up
f10,votes_funny
f11,weighted_vote_score
f12,comment_count
f13,steam_purchase
f14,received_for_free
f15,written_during_early_access
f16,hidden_in_steam_china
f17,discount_max
f18,ccu
f19,owners_min
f20,owners_max
f21,price_usd
f22,rev_owners_min_usd
